Rule ID,Condition,Score or Behavior,Explanation,Fallback Tier
R01,Future open timeslot,Required,Exclude events with no future open timeslot unless they are anytime actions,Base filter
R02,Same exact event after Good or OK,+55,Best re-shift when prior experience was positive or acceptable,Tier 1
R03,Same event type after Good or OK,+38,Reduce friction by inviting them back into the same kind of action,Tier 1
R04,Experience Good or OK,+18,Positive experience makes a direct re-ask more appropriate,Tier 1
R05,Local ZIP prefix match,+46,Approximate local relevance in prototype; production should use Mobilize ZIP/distance,Tier 2
R06,Same-state in-person,+36,Prefer keeping activists connected to their own state program,Tier 2
R07,Same-state virtual,+30,Prefer state-specific virtual events over generic national options,Tier 2
R08,National virtual,+12,Useful fallback when no local or same-state voter-contact option exists,Tier 5
R09,Out-of-state in-person,-50,Avoid sending people across state lines unless no better option exists,Penalty
R10,High priority event,+24,Elevate program-priority shifts when local/state fit is weak,Tier 3
R11,Voter-contact event type,+28,Prefer shifts that reach voters or community members,All tiers
R12,Virtual voter-contact event,+8,Useful fallback when local/state options do not fit,Tier 5
R13,Virtual OK is yes and event is virtual,+8,Match stated preference,Preference
R14,Virtual OK is no and event is virtual,-25,Avoid mismatch,Penalty
R15,Meeting/training/lower-priority type,-32,Do not prioritize non-contact events unless intentionally included,Penalty
R16,Bad experience with same event type,-38,Avoid repeating a negative experience,Penalty
R17,Soon upcoming shift,+0 to +16,Maintain momentum by favoring nearer future shifts,Tie-breaker
R18,Geographic ordering,Sort behavior,Local first; then same-state; then national virtual; then out-of-state in-person only if needed,All tiers
R19,Endorsed candidate action,Manual fallback,Use when no strong event fit exists,Tier 4
R20,National virtual voter contact,Manual fallback,Use as final event-based fallback,Tier 5
